,Entry,ExptA,Mno,restrt,Study.y,Expt,Ref,TDBU,FTG,Ygen,Yunits,Sys1,Des1,Slevels,Smax,Dur,Gtime,Tscale,LnTscale,Tser,FinalT.x,HigherT,richness,value,Mean.value,value.st,unit.types,unit.types2,maxTscale,logMaxTime,logY,logS,TG1,MaxTscale,Study,minval,maxval,convert.min,convert.max,values.rs,logY.rs,logYst,logSc,lnTc,logSmax,logSmaxc
16,1002,402,1190,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,850,892,0.9529,-0.0482,Y,Y,N,1,1030.9722,1448.852867,0.711578259,mass,biomass,0.8184,-0.200404064,6.93825752,0,1,0.8184,150,1030.9722,1766.0185,0,0,1030.9722,6.93825752,-0.340269876,-2.079441542,-2.17678752,2.197224577,0.117783036
17,1002,402,1190,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,850,892,0.9529,-0.0482,Y,Y,N,3,1549.5679,1448.852867,1.069513638,mass,biomass,0.9529,-0.048245313,7.345731397,1.098612289,1,0.9529,150,1030.9722,1766.0185,0,0,1549.5679,7.345731397,0.067204001,-0.980829253,-2.17678752,2.197224577,0.117783036
18,1002,402,1190,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,850,892,0.9529,-0.0482,Y,Y,N,3,1549.5679,1448.852867,1.069513638,mass,biomass,0.8184,-0.200404064,7.345731397,1.098612289,1,0.8184,150,1030.9722,1766.0185,0,0,1549.5679,7.345731397,0.067204001,-0.980829253,-2.17678752,2.197224577,0.117783036
19,1002,402,1190,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,850,892,0.9529,-0.0482,Y,Y,N,9,1766.0185,1448.852867,1.218908104,mass,biomass,0.9529,-0.048245313,7.476482857,2.197224577,1,0.9529,150,1030.9722,1766.0185,0,0,1766.0185,7.476482857,0.197955461,0.117783036,-2.17678752,2.197224577,0.117783036
20,1002,402,1190,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,850,892,0.9529,-0.0482,Y,Y,N,9,1766.0185,1448.852867,1.218908104,mass,biomass,0.8184,-0.200404064,7.476482857,2.197224577,1,0.8184,150,1030.9722,1766.0185,0,0,1766.0185,7.476482857,0.197955461,0.117783036,-2.17678752,2.197224577,0.117783036
21,1025,404,1191,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,120,365,0.3288,-1.1124,Y,N,Y,1,102.7264,98.3329,1.044679858,cover,perc.cover,3.0411,1.112219292,4.632069143,0,1,3.0411,152,93.9394,102.7264,0,0,102.7264,4.632069143,0.043710482,-2.079441542,-3.240847823,1.386294361,-0.693147181
22,1025,404,1191,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,120,365,0.3288,-1.1124,Y,N,Y,1,102.7264,98.3329,1.044679858,cover,perc.cover,3.2877,1.190188232,4.632069143,0,1,3.2877,152,93.9394,102.7264,0,0,102.7264,4.632069143,0.043710482,-2.079441542,-3.240847823,1.386294361,-0.693147181
23,1025,404,1191,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,120,365,0.3288,-1.1124,Y,N,Y,4,93.9394,98.3329,0.955320142,cover,perc.cover,3.0411,1.112219292,4.542649894,1.386294361,1,3.0411,152,93.9394,102.7264,0,0,93.9394,4.542649894,-0.045708767,-0.693147181,-3.240847823,1.386294361,-0.693147181
24,1025,404,1191,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,120,365,0.3288,-1.1124,Y,N,Y,4,93.9394,98.3329,0.955320142,cover,perc.cover,3.2877,1.190188232,4.542649894,1.386294361,1,3.2877,152,93.9394,102.7264,0,0,93.9394,4.542649894,-0.045708767,-0.693147181,-3.240847823,1.386294361,-0.693147181
25,1026,404,1192,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,210,365,0.5753,-0.5528,Y,N,Y,1,70.8594,73.57585,0.963079597,cover,perc.cover,3.0411,1.112219292,4.260697632,0,1,3.0411,152,70.8594,76.2923,0,0,70.8594,4.260697632,-0.037619215,-2.079441542,-2.681405842,1.386294361,-0.693147181
